name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,log_kms_driven
Honda CB Hornet 160R,48000,8,1,0,25000,88161.0,10.12667110305036
Bajaj CT 100,32000,7,1,0,40000,87958.71405750798,10.596659732783579
Hero Honda Pleasure,23000,14,1,0,32000,87958.71405750798,10.373522431293592
Bajaj Pulsar 135 LS,20000,14,1,0,50000,64589.0,10.819798284210286
Royal Enfield Classic 350,125000,7,1,0,36000,87958.71405750798,10.491301994830229
Honda Navi [2016-2017],23000,8,1,0,17450,44389.0,9.767152232578871
Bajaj Discover 125,15000,13,1,0,32000,57549.0,10.373522431293592
Yamaha SZ RR V 2.0,35000,9,1,0,38000,69983.0,10.545367754151743
Bajaj Discover 150,25000,10,1,0,71000,54299.0,11.170449240431308
Bajaj Pulsar 150,80000,5,1,0,8000,87958.71405750798,8.987321812850125
TVS Flame,15000,14,1,0,12000,87958.71405750798,9.392745258631441
Vespa VX 125,45000,11,1,0,50000,72303.0,10.819798284210286
Yamaha SZ X,25000,12,1,0,30000,65800.0,10.308985993422082
Honda CBF Stunner,35000,11,1,0,15888,58757.0,9.673382324888367
Bajaj Discover 100 T,25000,11,1,0,26000,47032.0,10.165890277802454
Royal Enfield Classic 350,170000,6,1,0,5600,87958.71405750798,8.630700432209832
Honda Activa [2000-2015],25000,10,1,0,41000,50267.0,10.62135173563291
Royal Enfield Electra 5 S,60000,17,1,0,19612,87958.71405750798,9.883947890661512
Bajaj Pulsar 150,41000,12,1,0,17000,87958.71405750798,9.741027444837728
Honda Shine,35000,12,1,0,33700,87958.71405750798,10.425282789490705
Honda CB Unicorn 160,75000,9,1,0,100000,79233.0,11.51293546492023
Honda Activa 3G,47999,8,1,0,6000,54605.0,8.699681400989514
Honda Shine,36999,13,1,0,21000,87958.71405750798,9.952325334619427
Bajaj Pulsar 180,25000,17,1,0,80000,85011.0,11.289794413577894
Suzuki Gixxer SF,60000,8,1,0,15000,87958.71405750798,9.61587214452889
Honda CB Unicorn 150,50000,17,1,0,46000,74295.0,10.736418414365376
Yamaha YZF R15 [2011-2018],65000,11,1,0,11000,118997.0,9.305741456739435
TVS Sport,12000,17,1,0,72000,87958.71405750798,11.184435286790631
Bajaj Pulsar AS200,60000,9,1,0,50000,92074.0,10.819798284210286
Honda Activa [2000-2015],20000,14,1,0,50000,50267.0,10.819798284210286
Yamaha FZ16,27000,13,1,0,67000,78712.0,11.112462823634855
Bajaj Boxer,10000,24,1,0,30000,87958.71405750798,10.308985993422082
Hero Honda Hunk,56000,9,1,0,48000,87958.71405750798,10.778977123006351
Hero Honda Hunk,58000,9,1,0,48000,87958.71405750798,10.778977123006351
Bajaj Avenger Cruise 220,87000,6,1,0,8000,87958.71405750798,8.987321812850125
Yamaha Ray Z,35000,9,1,0,15500,52949.0,9.648659816955295
Bajaj Pulsar 180,35000,12,1,0,45000,85011.0,10.714439990727769
Bajaj Discover 150F,40000,10,1,0,60855,64071.0,11.016265696677138
Bajaj Pulsar 135 LS,56000,7,1,0,37714,64589.0,10.53781317228773
Bajaj Pulsar 180,30000,16,1,0,60000,85011.0,11.002116507732017
Honda Activa 125 [2016-2017],40000,7,1,0,26000,61545.0,10.165890277802454
Hero HF Deluxe,60000,5,1,0,6000,87958.71405750798,8.699681400989514
Hero Karizma 2014,40000,11,1,0,30000,86744.0,10.308985993422082
Bajaj Platina 100,40000,6,1,0,17000,87958.71405750798,9.741027444837728
Royal Enfield Bullet 500,130000,9,1,0,34601,168482.0,10.451666762843468
Bajaj Pulsar AS200,45000,9,1,0,48000,92074.0,10.778977123006351
Yamaha FZ S [2012-2016],42000,11,1,0,60000,79432.0,11.002116507732017
Bajaj Pulsar 220 Fi,25000,12,1,0,44000,87958.71405750798,10.691967639914864
Bajaj Pulsar 150,15000,18,1,0,55000,87958.71405750798,10.915106645867503
Bajaj Dominar 400 [2018],170000,6,1,0,16000,163331.0,9.680406499268875
Hero Passion X Pro [2016-2017],38000,8,1,0,20000,59095.0,9.90353755128617
Yamaha FZ S V 2.0,60000,9,1,0,17500,84042.0,9.770013301136158
TVS Apache RTR 160,65000,7,1,0,46000,87958.71405750798,10.736418414365376
Bajaj Avenger [2015],35000,13,1,0,30000,75502.0,10.308985993422082
Bajaj Pulsar 150,70000,5,1,0,6500,87958.71405750798,8.77971129020447
Hero Honda Glamour,15000,18,1,0,80000,87958.71405750798,11.289794413577894
Hero Splendor iSmart,50000,7,1,0,10000,52271.0,9.210440366976517
Royal Enfield Classic 350,145000,7,1,0,2200,87958.71405750798,7.696667081526462
Yamaha FZ16,25000,16,1,0,40000,78712.0,10.596659732783579
Hero Xtreme Sports,58000,8,1,0,21000,80350.0,9.952325334619427
Royal Enfield Bullet 350 [2007-2011],90000,17,1,0,3500,87958.71405750798,8.160803920954665
Hero Honda Passion,9000,22,1,0,66191,87958.71405750798,11.100314888701194
Bajaj Discover 150S,40000,10,1,0,50000,63331.0,10.819798284210286
TVS Scooty Zest 110,28000,9,1,0,32800,52372.0,10.39821428171237
Bajaj Avenger Street 150 [2018],50000,8,1,0,32000,80435.0,10.373522431293592
Yamaha Cygnus Ray ZR,56000,5,1,0,3900,58630.0,8.268988209506656
Honda Activa [2000-2015],35000,10,1,0,10000,50267.0,9.210440366976517
TVS Apache RTR 200 4V,95000,6,1,0,9600,87958.71405750798,9.169622538697624
Honda Shine,30000,14,1,0,46782,87958.71405750798,10.753275168052005
Honda CB Hornet 160R,95000,5,1,0,8000,94703.0,8.987321812850125
Honda Activa i [2016-2017],40000,7,1,0,11000,53436.0,9.305741456739435
Hero Karizma 2014,30000,10,1,0,51000,86744.0,10.839600519357369
Bajaj Discover 100 T,18000,11,1,0,45000,47032.0,10.714439990727769
Honda Aviator,14000,16,1,0,66000,59183.0,11.097425172408931
Hero Splendor Plus,17000,14,1,0,50000,87958.71405750798,10.819798284210286
Royal Enfield Thunderbird 350,125000,7,1,0,23500,87958.71405750798,10.064798252418377
